board_name,card_question,card_answer
Phrasal verbs 3,deter from,"###Meaning: to make someone less likely to do something, or to discourage someone from doing something

---

_***For example:*** deter sb from doing sth The terrorist attacks deterred many people from visiting the country, and many tourists cancelled their bookings. deter sb from doing sth Did the stock market collapse of 2008 deter you from investing in shares again?_"
Phrasal verbs 3,devote to,"###Meaning: to decide to spend a certain portion of your time or money on something Synonym: dedicate to

---

_***For example:*** devote to Richard promised to devote more time to his family, and less time to work and making money. devote to How much time and money would we have to devote to setting up the new business?_"
Phrasal verbs 3,die away,"###Meaning: If a sound dies away, it gradually gets softer and softer.Synonym: fade away

---

_***For example:*** die away After about five minutes of non-stop cheering and clapping, the applause began to die away and people started to leave the hall. die away I shouted into the cavern and listened as the echo of my voice slowly died away. Nouns often used as subjects with die away: sound, applause, echo, footsteps, thunder, note, noise_"
Phrasal verbs 3,die down,"###Meaning: If something dies down, it gradually becomes weaker in strength or lower in volume or magnitude.Synonym: subside

---

_***For example:*** die down The anger people felt about what the previous government had done to their country took a long time to die down. die down The new president waited for the applause to die down before he began to speak. Nouns often used as subjects with die down: noise, applause, excitement, laughter, wind, storm, protest, controversy, anger, rage, fighting_"
Phrasal verbs 3,die off,"###Meaning: If a group of people, animals, or plants dies off, all of them die over a period of time and none are left.

---

_***For example:*** die off The plants in our garden slowly died off due to lack of water. die off Many Tasmanian aborigines were killed by European invaders, and the rest died off over the years because of European diseases._"
Phrasal verbs 3,die out,"###Meaning: If something like a species of animal or a language is dying out, it is disappearing and could soon be lost forever.Synonym: become extinct

---

_***For example:*** die out Several languages will die out soon if more people don't start learning them and speaking them. die out Some people believe polar bears could die out within twenty or thirty years because of global warming._"
Phrasal verbs 3,dig in,"###Meaning: to start eating with enthusiasm, or gusto Synonym: tuck in (informal)

---

_***For example:*** dig in As soon as I put the food on the table, all the kids starting digging in. dig in The pizza's here you guys! Come and dig in!_"
Phrasal verbs 3,dig up,"###Meaning: If you dig up something, you get it from under the ground by digging.Synonym: unearth

---

_***For example:*** dig up The police dug up the murder victim's body and took it away for examination. dig up My dog loves digging up bones that I bury in the garden for him. Nouns often used as objects with dig up: body, bone, treasure, potatoes, peanuts_"
Phrasal verbs 3,dip into,"###Meaning: to take money from an amount that has been saved or put aside for a specific purpose

---

_***For example:*** dip into sth Saleena has decided to dip into her savings and take a trip to Thailand. dip into sth If you haven't got change to tip the messenger, dip into our petty cash jar._"
Phrasal verbs 3,dish out (1),"###Meaning: to give things to people, often without thinking about the effects or the costs of doing soSynonym: dole out (informal), give out, hand out

---

_***For example:*** dish out sth The college was accused of dishing out degrees to anyone who could pay for them. dish sth out Drug companies want doctors to dish their drugs out to as many people as possible. Note: This phrasal verb often has a negative connotation. For example, if someone dishes something out they could be doing so for their own benefit without thinking about the negative consequences._"
