board_name,card_question,card_answer
Phrasal verbs 11,think of (2),"###Meaning: to have an opinion about something or someone

---

_***For example:*** think of sth/sb What did you think of the concert? Did you like it? think of sth/sb Ask Pat what he thinks of our new boss?_"
Phrasal verbs 11,think over,"###Meaning: to think carefully about something before making a decisionSynonym: consider, reflect on, mull over

---

_***For example:*** think sth over Make sure you think things over carefully before making up your mind. think sth over Let me think it over and I'll get back to you on Monday, OK?_"
Phrasal verbs 11,think up,"###Meaning: to use one's imagination to come up with something like an excuse, a name, a plan, or a story Synonym: come up with, invent

---

_***For example:*** think up sth The boss wants me to work on Sunday mornings, but I'll have to think up an excuse because I love sleeping in on Sundays. think sth up We need a good name for our new computer game. Do you think you could help us think one up? Nouns often used as objects with think up: excuse, reason, explanation, name, title, story, plot, plan, scheme_"
Phrasal verbs 11,throw away,"###Meaning: to get rid of something you don't want, usually by putting it in a rubbish bin or a garbage canSynonym: throw out, discard

---

_***For example:*** throw away sth Are you sure you want to throw away those old books and magazines? Why don't you try to sell them on eBay? throw sth away I've got too many old clothes. I should throw some of them away. Nouns often used as objects with throw away: junk, rubbish, garbage, old clothes, old furniture_"
Phrasal verbs 11,throw off,"###Meaning: to get rid of something that has been bothering youSynonym: shake off

---

_***For example:*** throw off sth I wish I could throw off this feeling that something bad is going to happen. throw sth off It didn't take her long to throw the cold off and get back to work._"
Phrasal verbs 11,throw out (1),"###Meaning: to discard something you don't want, usually by putting it in a rubbish bin or a garbage canSynonym: throw away, discard

---

_***For example:*** throw out sth Dad has thrown out those old magazines he kept in the shed. throw sth out Don't you think it's time we threw some of this stuff out?_"
Phrasal verbs 11,throw out (2),"###Meaning: to force somebody to leave something like a club, a college or school, an organisation, etc. Synonym: expel (formal)

---

_***For example:*** be thrown out If anybody causes trouble or starts a fight, they'll be thrown out of the club. throw sb out He knew they'd throw him out of the drug treatment centre if he used drugs again._"
Phrasal verbs 11,throw up,"###Meaning: If someone throws up, they vomit up the contents of their stomach.Synonym: vomit, spew up (informal)

---

_***For example:*** throw up Jim drank too much warm beer and threw up in the toilet. throw sth up After I'd thrown my lunch up, I went to the hospital._"
Phrasal verbs 11,tidy up,"###Meaning: to make a place look neat and tidy

---

_***For example:*** tidy up Don't forget to tidy up when you've finished. tidy sth up Tidy your room up Joel, or you won't be getting any pocket money! tidy up sth Why does my wife insist on tidying up the house just before the housekeeper comes?_"
Phrasal verbs 11,tie up (1),"###Meaning: to tie together the ends of something

---

_***For example:*** tie up sth Our two-year-old boy is learning to tie up his shoelaces. tie sth up I've nearly finished the story. I'm just tying a few loose ends up and then it'll be done._"
Phrasal verbs 11,tie up (2),"###Meaning: to make somebody busy with somethingSynonym: occupy

---

_***For example:*** be tied up He'll be tied up all afternoon, but he can see you tomorrow morning. be tied up with sth Most of the time Gillian is tied up with day-to-day tasks like managing the office and sorting out staff issues. Note: Often used in a passive form, such as, He'll be tied up with clients all morning._"
Phrasal verbs 11,tie up (3),"###Meaning: to make something or someone unavailable by committing them to something

---

_***For example:*** be tied up Most of our money is tied up in long-term investments, so we don't have much cash available just now. tie up sth/sb Do you think it's a good idea to tie up all our production capacity, or should we keep some free for special orders?_"
Phrasal verbs 11,tip off,"###Meaning: to warn someone or give someone secret information about something

---

_***For example:*** tip sb off The thieves knew where the security van was going, so somebody must have tipped them off. tip off sb Monica wondered who could have tipped off the police, and thought about everyone who knew she was carrying the drugs._"
Phrasal verbs 11,top up,"###Meaning: to completely fill something like a glass or a container, or to increase the level of something like a phone cardSynonym: top off (American)

---

_***For example:*** top sth up A waiter was topping our drinks up whenever they needed it. top up sth What's the easiest way to top up a mobile phone card? Nouns often used as objects with top up: glass, drink, kettle, tank, phone card, mobile phone, account_"
Phrasal verbs 11,touch on,"###Meaning: to talk briefly about something when speaking or writing about another topicSynonym: mention

---

_***For example:*** touch on sth The only major issue that the president didn't touch on was increasing health costs. touch on sth The talk was mostly about global warming, but the speaker also touched on several other environmental issues._"
Phrasal verbs 11,toy with,"###Meaning: to think about doing something, but not very seriouslySynonym: flirt with

---

_***For example:*** toy with sth Are you serious about quitting your job, or are you just toying with the idea? toy with sth We're toying with the idea of getting a new car next year. Note: Very often used with the idea of , as in They're toying with the idea of moving house._"
Phrasal verbs 11,track down,"###Meaning: to find something after a long searchSynonym: find, locate

---

_***For example:*** track down sb/sth I managed to track down all of my mother's old photos by getting in touch with dozens of her relatives and friends. track sb/sth down It took the police a long time to track the killers down and arrest them._"
Phrasal verbs 11,try on,"###Meaning: to put on clothes or shoes before buying them to see if they fit properly and look good

---

_***For example:*** try on sth Did he try on that shirt before he bought it? It looks too big for him. try sth on Excuse me, but I'm not sure if these jeans fit me. Can I try them on? Nouns often used as objects with try on: clothes, shoes, jeans, jacket, sunglasses, ring_"
Phrasal verbs 11,try out,"###Meaning: to test something to see what it's like, or to see if it works properly Synonym: test

---

_***For example:*** try sth out I saw these new headphones in a shop today and I tried them out. They sounded great, but they were really expensive. try out sth I tried out this new meditation technique this morning, and it's great. I've felt really good all day. Nouns often used as objects with try out: software, printer, phone; relaxation technique, exercise routine, diet_"
Phrasal verbs 11,turn around,"###Meaning: to change something unsuccessful into something successfulSynonym: turn round (British)

---

_***For example:*** turn sth around What do you think the government should do to turn the economy around? turn sth around If she wants to turn her life around she needs to stop taking drugs and drinking alcohol._"
Phrasal verbs 11,turn away,"###Meaning: If someone turns you away, they don't allow you to enter a place.Synonym: send away, refuse entry to

---

_***For example:*** turn sb away They turned us away at the door because we didn't have tickets. turn away sb Doormen at five star hotels sometimes turn away people who aren't properly dressed. be turned away Several protesters were turned away by security guards when they tried to enter the meeting._"
Phrasal verbs 11,turn back,"###Meaning: to return in the direction from which you've come, or to make someone do this

---

_***For example:*** turn back If you get lost, turn back and return the way you came. turn sb back The police were turning everybody back because the road had been blocked by a landslide. be turned back Anyone who doesn't have a visa will be turned back at the border._"
Phrasal verbs 11,turn down (1),"###Meaning: to decrease or lower the volume, heat, power, etc. of an appliance by turning a knob or pressing a button

---

_***For example:*** turn down sth We'd better turn down the volume or the neighbours might complain. turn sth down It's cool enough now, so let's turn the air conditioner down. Nouns often used as objects with turn down (1): television, TV, volume, air conditioner, heater_"
Phrasal verbs 11,turn down (2),"###Meaning: If you turn down an offer or a request, you decide not to accept it.Synonym: refuse, reject

---

_***For example:*** turn down sth/sb The bank turned down Kenny's application for a loan because he'd just lost his job. turn sth/sb down The club turned his transfer request down, so Patrice had to stay with the club. Nouns often used as objects with turn down (2): offer, request, appeal, proposal, invitation, application_"
Phrasal verbs 11,turn in (1),"###Meaning: to go to bed

---

_***For example:*** turn in What time do you usually turn in? turn in I usually turn in around one o'clock._"
Phrasal verbs 11,turn in (2),"###Meaning: If you turn somebody in, you tell the police that the person has committed a crime or you hand them over to the police yourself.

---

_***For example:*** turn in sb Would you turn in your best friend if you knew he'd broken the law? turn sb in The police have asked members of the public to turn the thieves in if they know who they are._"
Phrasal verbs 11,turn into,"###Meaning: to change from one thing into anotherSynonym: transform into

---

_***For example:*** turn into sth/sb Isn't it incredible how caterpillars turn into butterflies, and tadpoles turn into frogs? Nature really is amazing! turn sth/sb into sth/sb This guy is a great businessman. He turned a small company into a huge global corporation._"
Phrasal verbs 11,turn off,"###Meaning: to stop a machine or an appliance from working by using a button or a switchSynonym: switch off

---

_***For example:*** turn off sth Don't forget to turn off the air conditioner before you leave the house. We shouldn't be wasting energy. turn sth off Do you turn all your lights off at night, or do you leave some of them on? Nouns often used as objects with turn off: light, computer, phone, television, heater, air conditioner, engine, motor_"
Phrasal verbs 11,turn on,"###Meaning: to start a machine or an appliance by pressing a button or flicking a switch Synonym: switch on

---

_***For example:*** turn on sth As soon as they get home from school, most kids grab some sweets or snacks and turn on the TV. No wonder so many get fat! turn sth on The first thing I do when I get to the office is turn my computer on. Nouns often used as objects with turn on: light, computer, television, phone, heater, air conditioner, engine, motor_"
Phrasal verbs 11,turn out (1),"###Meaning: to make a light go off Synonym: switch off

---

_***For example:*** turn out sth Don't forget to turn out the lights before you leave the office. turn sth out The bathroom light was on this morning. Who forgot to turn it out?_"
Phrasal verbs 11,turn out (2),"###Meaning: to have a certain outcome, or to end in a certain waySynonym: pan out (informal)

---

_***For example:*** turn out We weren't sure if moving to Japan was a good idea at first, but we're very pleased with the way things have turned out. turn out Don't worry. I'm sure everything will turn out fine in the end._"
Phrasal verbs 11,turn over (1),"###Meaning: to change the position of something so that the side facing down is now facing up

---

_***For example:*** turn sth over After passing out the exam papers, I told my students to turn them over and start work. turn over sth Turn over the piece of paper and see what it says on the back. Nouns often used as objects with turn over (1): steak, sausage, pancake, paper, postcard, photograph, mat_"
Phrasal verbs 11,turn over (2),"###Meaning: to change your body's position when lying down so that you are facing the opposite direction

---

_***For example:*** turn over My back was sore, and every time I turned over it hurt. turn over I was sound asleep when my wife turned over and accidentally slapped my face._"
Phrasal verbs 11,turn up (1),"###Meaning: to increase the volume, heat, power, etc. of an appliance by turning a knob or pressing a button

---

_***For example:*** turn sth up If you can't hear the TV, turn it up a bit. turn up sth Could you turn up the heater, please? It's getting cold in here. Nouns often used as objects with turn up (1): television, TV, volume, air conditioner, heater_"
Phrasal verbs 11,turn up (2),"###Meaning: If someone turns up somewhere, they arrive without being expected or without telling anyone they'd be coming. Synonym: appear, show up

---

_***For example:*** turn up Everyone was surprised when Harry's ex-wife turned up at his wedding. turn up Thousands of fans turned up at the airport to welcome the team back home._"
Phrasal verbs 11,urge on,"###Meaning: If you urge somebody on, you encourage them to continue trying to do something.Synonym: encourage

---

_***For example:*** urge on sb/sth Good teachers urge on their weaker students, and help them to do their best. urge sb/sth on I urged Billy on by telling him I knew he could do it. And when he really believed he could do it too, he did it!_"
Phrasal verbs 11,use up,"###Meaning: If you use up something, you use all of it and have none left over.

---

_***For example:*** use up sth Do you think we'll find a new way to power cars before we use up all our oil reserves? use sth up I can't get any more sick days off work. I've already used them all up. Nouns often used as objects with use up: resources, reserves, supplies, stocks, time_"
Phrasal verbs 11,usher in,"###Meaning: to begin a period in history or a stage in someone's life Synonym: herald (formal)

---

_***For example:*** usher in sth My first day in college ushered in one of the happiest times in my life. usher in sth The new President's election ushered in a period of peace and cooperation among the nations of the world. Note: mostly used in journalism or academic writing_"
Phrasal verbs 11,veg out,"###Meaning: If you veg out, you relax and take it easy.Synonym: laze around, chill out (informal)

---

_***For example:*** veg out I'm really tired tonight. I think I'll just go home and veg out in front of the TV. veg out I think Marty's a bit depressed. All he wants to do is smoke dope and veg out._"
Phrasal verbs 11,verge on,"###Meaning: to be close to reaching a certain state or conditionSynonym: border on

---

_***For example:*** verge on sth The senior students' hazing rituals for new college students were so cruel that they were verging on torture. verge on sth Even as a child, Glenn Gould had a talent for playing the piano that verged on genius. Note: verge upon is a more formal variant with the same meaning_"
Phrasal verbs 11,vie for,"###Meaning: If you vie for something, you compete with others to get it.Synonym: compete for

---

_***For example:*** vie for sth Leo and Fiona are vying for promotion to the same management position, so they're both trying hard to impress the boss. vie for sb Mandy and Lynne haven't been friends ever since they vied for Jerome. They both really liked him, and both wanted to be his girlfriend. Nouns often used as objects with vie for: power, position, job, role, promotion, influence, attention, recognition_"
Phrasal verbs 11,vote in,"###Meaning: If a person or a political party is voted in, they have won the most votes in an election.Synonym: elect

---

_***For example:*** vote in sb/sth In a democracy, you can vote in whoever you like. vote sb/sth in Our country's people have voted the Labour Party in for the first time in nearly twenty years. be voted in If the only way to be voted in is to buy a lot of votes, every member of parliament in this country must be guilty of vote-buying. Nouns often used as objects with vote in: party, president, prime minister, government, leader, politician, representative_"
Phrasal verbs 11,vote off,"###Meaning: If somebody is voted off something, they have to leave because not enough people voted to keep them on.

---

_***For example:*** be voted off sth I was really shocked when Kylie was voted off American Idol. I thought she was the best singer there. vote sb off sth The company shareholders voted three people off the Board of Directors._"
Phrasal verbs 11,vouch for,"###Meaning: If you vouch for someone or something, you say that the person or thing can be trusted and is of good character or quality.

---

_***For example:*** vouch for sb I will only vouch for someone if I know them well and I'm sure they can do a good job. vouch for sth I bought this software because a good friend of mine vouched for it. Nouns often used as objects with vouch for: doctor, teacher, hospital, school, course, diet_"
Phrasal verbs 11,wait around,"###Meaning: If you have to wait around for something, you have to wait a long time for it.Synonym: hang around

---

_***For example:*** wait around Why do we always have to wait around when we have an appointment with a doctor or a dentist? wait around for sth/sb Drug addicts spend most of their time waiting around for dealers to come with the drugs they need. What a boring life it must be!_"
Phrasal verbs 11,wait on (1),"###Meaning: to serve someone in a restaurant, or to act as a servant for someone and do whatever they ask you to doSynonym: serve

---

_***For example:*** wait on sb Each waiter is assigned certain tables and they only wait on people at those tables. wait on sb Each of the star actors has a personal assistant who waits on him or her hand and foot ._"
Phrasal verbs 11,wait on (2),"###Meaning: to wait for the results of something, or for information about something, before deciding what to do nextSynonym: wait for

---

_***For example:*** wait on sth The investigators are waiting on the toxicology results before making their final report. wait on sth Her family is in the next room waiting on the test results._"
Phrasal verbs 11,wait up,"###Meaning: If you wait up, you stay up late at night waiting for something or someone.Synonym: stay up, sit up (British)

---

_***For example:*** wait up I'll be home late tonight, but don't wait up. You need your sleep. wait up for sb/sth Did your mother wait up for you when you were a teenager staying out late at parties and clubs?_"
Phrasal verbs 11,wake up,"###Meaning: to become conscious again after sleeping, or to make someone else become conscious after sleepingSynonym: awaken (formal)

---

_***For example:*** wake up You look tired. What time did you wake up this morning? wake sb up Every morning my alarm clock wakes me up. I really hate that sound._"
Phrasal verbs 11,walk out,"###Meaning: to leave a relationship suddenly Synonym: leave

---

_***For example:*** walk out Her father walked out when she was ten years old, and he hasn't been back since. walk out on sb She walked out on her husband after he beat her up._"
Phrasal verbs 11,ward off,"###Meaning: to stop something that's harmful or dangerous from coming nearSynonym: fend off

---

_***For example:*** ward off sth Many people believe that vitamin C can ward off the common cold. ward sth off Did you know that garlic and crosses can be used to ward off Dracula and other vampires?_"
Phrasal verbs 11,warm up (1),"###Meaning: to make something warmer

---

_***For example:*** warm up Her boyfriend left some pizza in the oven for her to warm up when she got home. warm sth up Snakes are cold-blooded, so they rely on the sun's heat to warm them up. warm up sth Let me get next to fire for a minute so I can warm up my hands. Nouns often used as objects with warm up (1): food, pizza, pie, water, plates, hands, feet_"
Phrasal verbs 11,warm up (2),"###Meaning: to prepare for a sporting or artistic performance by doing exercises or practisingSynonym: limber up

---

_***For example:*** warm up Don't forget to warm up before the game starts. warm sth up The choir sang some scales before the concert to warm their vocal cords up. warm up sth Let's jog for a while to warm up our leg muscles._"
