board_name,card_question,card_answer
Phrasal verbs 5,go through (2),"###Meaning: to live through a bad time or a difficult situationSynonym: experience

---

_***For example:*** go through sth He just went through one of the most difficult periods in his life. go through sth We've been going through a recession for a year or so, but hopefully the economy will improve soon. Nouns often used as objects with go through (2): illness, depression, loss, heartbreak, bankruptcy, grief, pain, difficulty_"
Phrasal verbs 5,go together (1),"###Meaning: If two things go together, they look good together or they harmonize.Synonym: match

---

_***For example:*** go together Do you think this shirt and these pants go together? go together Most people don't think that the colours green and blue go together._"
Phrasal verbs 5,go together (2),"###Meaning: to happen together, or to often occur at the same time

---

_***For example:*** go together Our professor says that historically great power and corruption often go together. go together Researchers have discovered that low income and obesity often go together, especially in more developed countries like the U.S.A._"
Phrasal verbs 5,go under,"###Meaning: If a company goes under, it goes out of business and closes down.Synonym: fail

---

_***For example:*** go under Jenny's company went under because of the economic slowdown, and she had to look for a job. go under If businesses don't adapt to changing conditions, there's a good chance they'll go under._"
Phrasal verbs 5,go up,"###Meaning: If something like a price or a rate goes up, it becomes higher.Synonym: rise, increase

---

_***For example:*** go up If the economy is in a period of inflation, prices and incomes are going up. go up Whenever Jerry sees the girl who lives next door, his blood pressure goes up._"
Phrasal verbs 5,go with,"###Meaning: If one thing goes with another, they look good together or seems to work well together. Synonym: match

---

_***For example:*** go with Which of these ties does my blue shirt go with? go with sth He needs some socks to go with his black and white shoes._"
Phrasal verbs 5,go without,"###Meaning: to not have something that you used to have because conditions have changed and it's no longer available or affordable Synonym: do without

---

_***For example:*** go without There's going to be a shortage of food soon, and some people are going to have to go without for a day or two. go without sth Most of us will have to go without luxuries like expensive jewellery and overseas trips until the economy improves._"
Phrasal verbs 5,grow on,"###Meaning: If something grows on you, you gradually start to like it, even though you didn't like it much at first.

---

_***For example:*** grow on sb I didn't like the music at first, but it's grown on me and I like it a lot now. has grown on sb David really didn't like New York when he first went there, but he says he loves it now. I guess the city has grown on him._"
Phrasal verbs 5,grow out of,"###Meaning: If you grow out of something, you become too big for it or too old for it.Synonym: outgrow

---

_***For example:*** grow out of When I was a kid we were so poor that I had to wear clothes that my older brothers had grown out of. grow out of sth Our little boy Jamie has grown out of his thumb-sucking habit at last. He's just turned four so he's too old for that now. Nouns often used as objects with grow out of: pants, shirt, clothes, shoes, toys, hobby, bad habit, bad behaviour_"
Phrasal verbs 5,grow up,"###Meaning: to change from being a child to being an adult, or from being an immature adult to being a mature adult

---

_***For example:*** grow up Adults often ask kids what they're going to be when they grow up. grow up Rajiv was born in India, but he grew up in England._"
Phrasal verbs 5,hammer out,"###Meaning: to reach an agreement or solution after a lot of negotiation or discussion

---

_***For example:*** hammer out sth It took their lawyers nearly a year to hammer out a divorce settlement. hammer sth out How long does it usually take to hammer one of these contracts out? Nouns often used as objects with hammer out: agreement, contract, settlement, deal, plan, policy, guidelines, regulations_"
Phrasal verbs 5,hand around,"###Meaning: If you hand around things like drinks or cakes, you give one to each person in a group.Synonym: give out, hand out

---

_***For example:*** hand around sth Could you hand around the cheese and crackers please, Robyn? hand sth around We were visiting the chimpanzee enclosure when an attendant came and handed some mangoes around, and the chimps were screeching until they all had one. Note: In the U.K. hand round is also used._"
Phrasal verbs 5,hand back,"###Meaning: to give something back to someone by hand

---

_***For example:*** hand back sth If the immigration official doesn't hand back your passport straight away, don't worry. He's probably just seeing which countries you've visited. hand sth back If someone gives you their business card, don't hand it back. Keep it and give them yours in return._"
Phrasal verbs 5,hand down,"###Meaning: to pass knowledge or skills from one generation to the nextSynonym: pass down

---

_***For example:*** hand sth down Their grandfather handed his skills down to younger members of the family. hand down sth For hundreds of years the members of the family had been handing down their secret method of winemaking._"
Phrasal verbs 5,hand in,"###Meaning: If you hand something in, you give it to someone in authority, like a teacher, a policeman or a security guard.Synonym: turn in (American), submit (formal)

---

_***For example:*** hand in sth Please hand in your exam paper before you leave the classroom. hand sth in If you find something that doesn't belong to you, please hand it in to the duty officer at the front desk. Nouns often used as objects with hand in: exam paper, test paper, report, results, keys, security card_"
Phrasal verbs 5,hand on,"###Meaning: If you hand something on, you pass it to somebody else. Synonym: pass on

---

_***For example:*** hand sth on After you've signed the petition, hand it on to the next person. hand sth on Instead of doing the job himself, he handed it on to one of his subordinates._"
