board_name,card_question,card_answer
Phrasal verbs 4,fit together,"###Meaning: to connect pieces that go together to make something

---

_***For example:*** fit sth together We completed the jigsaw puzzle by fitting all the pieces together. fit together sth You should read the instructions before trying to fit together all these parts._"
Phrasal verbs 4,fix up (1),"###Meaning: to repair something or to improve the condition of something, especially something old or second-handSynonym: restore, renovate, do up (British informal)

---

_***For example:*** fix sth up Mark and Shelley have made a lot of money by buying old, run-down houses, and then fixing them up and selling them. fix up sth Why don't you fix up that old motorbike you've got in the garage? If you got it in good condition again, you could sell it._"
Phrasal verbs 4,fix up (2),"###Meaning: to arrange something for someoneSynonym: sort out, arrange (formal)

---

_***For example:*** fix sb up Let me know if you ever need a loan and we'll fix you up. fix sb up with sth If you need an apartment, let me know and I'll talk to my cousin. He should be able to fix you up with something nice._"
Phrasal verbs 4,fizzle out,"###Meaning: If something fizzles out, it slowly loses its power or strength, and then ends weakly. Synonym: peter out

---

_***For example:*** fizzle out For the first couple of weeks, everybody was talking about the new reality TV show, but the excitement soon fizzled out and no-one talks about it now. fizzle out There used to be a lot of interest in the band, but it fizzled out when their lead singer quit and started a solo career._"
Phrasal verbs 4,flare up,"###Meaning: If something like a conflict or an illness flares up, it suddenly becomes worse.Synonym: erupt

---

_***For example:*** flare up Julia's skin condition flares up whenever she gets stressed out by something. flare up It can be dangerous in this city. Fighting among street gangs can flare up at any time._"
Phrasal verbs 4,flick through,"###Meaning: If you flick through a book or a magazine, you have a quick look at a few of the pages.Synonym: look through

---

_***For example:*** flick through sth She was flicking through a magazine when she spotted a picture of herself. flick through sth Don't you hate the way some shops seal new books in plastic? It means you can't flick through them before you buy them._"
Phrasal verbs 4,flood in,"###Meaning: If things flood in, they come quickly and in great numbers. Synonym: pour in

---

_***For example:*** flood in Ever since she won the Nobel Prize for literature, orders for her books have been flooding in. flood in Thousands of cheap products have been flooding in from overseas since the government lowered import taxes._"
Phrasal verbs 4,fob off (1),"###Meaning: to give someone something of low quality or little value

---

_***For example:*** fob sb off with sth He knows a lot about jade, so there's no way they can fob him off with some worthless white stone. be fobbed off with sth I wasn't going to be fobbed off with some sort of cheap copy._"
Phrasal verbs 4,fob off (2),"###Meaning: to try to make someone stop complaining or stop bothering you by telling them something that isn't true, or by giving them an excuse

---

_***For example:*** After I complained about getting tinned peas, the manager of the restaurant tried to fob me off with some excuse about fresh peas not being in season. The workers refused to be fobbed off with a vague promise of bigger bonuses in future if profits improved._"
Phrasal verbs 4,focus on,"###Meaning: If you focus on something, you give it all your attention.Synonym: concentrate on

---

_***For example:*** focus on sth The new government will focus on reforming health care and developing sustainable sources of energy. focus on sth I used to spend all my time making money, but now I'm more focused on developing my creative talents - and I'm much happier._"
Phrasal verbs 4,follow through,"###Meaning: to continue something to the next stage, or to complete something

---

_***For example:*** follow through It's not easy to come up with a good idea, but it's even harder to follow through and make it a reality. be followed through The first stage of the research project was very promising, but for some reason it was never followed through._"
Phrasal verbs 4,follow up,"###Meaning: to do something in addition to what's already been done in order to complete or continue a process or a deal Synonym: consolidate (formal)

---

_***For example:*** follow up If you meet a new contact, make sure you get their number and follow up with a call in the next day or two. follow up After selling something online, the website follows up with a customer satisfaction survey._"
Phrasal verbs 4,fool around,"###Meaning: If you're fooling around, you're having fun by joking and being a bit silly.Synonym: mess around, muck around (British informal)

---

_***For example:*** fool around We were telling jokes and laughing when the boss came in and told us to stop fooling around and start working. fool around If you spend all your time at school just fooling around, you'll never learn anything._"
Phrasal verbs 4,force into,"###Meaning: to make someone do something they don't want to do

---

_***For example:*** force sb into sth Bobby didn't like playing Little League baseball, but his father forced him into it. be forced into sth Libby hated competing in beauty contests for little girls, but she was forced into it by her mother. be forced into doing sth When I was a kid I was forced into taking piano lessons._"
Phrasal verbs 4,forge ahead,"###Meaning: to make rapid progress toward a goal

---

_***For example:*** forge ahead The festival's organizers are forging ahead and they're confident it'll be the biggest music festival ever. forge ahead The President was determined to forge ahead with his reforms despite the problems he was facing._"
Phrasal verbs 4,freak out,"###Meaning: If someone freaks out, they get very scared or upset by something.

---

_***For example:*** freak out When I saw a snake while I was having a shower, I freaked out and ran from the bathroom completely naked. freak out After smoking some marijuana, Harry started freaking out when he thought everyone was laughing at him._"
Phrasal verbs 4,free up,"###Meaning: to make someone or something available by releasing them from their usual duties or function

---

_***For example:*** free up sb/sth We need to free up some of our factory workers so they can help us out. free sb/sth up The company had to free some of its production capacity up in order to fill a special order._"
Phrasal verbs 4,freshen up,"###Meaning: If you freshen up, you wash your face and hands and make yourself look and feel better.

---

_***For example:*** freshen up I was hot and sweaty when I came inside so I went straight to the bathroom to freshen up. freshen up If you'd like to freshen up before dinner, the bathroom is the first door on the right._"
Phrasal verbs 4,frighten away,"###Meaning: If you frighten away something or someone, you make them go away by making them feel afraid.Synonym: scare off

---

_***For example:*** frighten sth/sb away Farmers build scarecrows in their fields in order to frighten away birds that eat their crops. frighten sth/sb away When he saw some guys coming to attack him, Harry pulled out his gun and frightened them away._"
Phrasal verbs 4,frown on,"###Meaning: to disapprove of something

---

_***For example:*** frown on sth Suzie's father frowned on the idea of her becoming a dancer, but her mother said she should do it if she was talented enough to succeed. be frowned on Long hair on boys is no longer banned in our school, though lots of teachers still frown on it. Note: We can make this phrasal verb more formal by using upon instead of on , as in The judge had always frowned upon the use of cameras in his courtroom._"
Phrasal verbs 4,function as,"###Meaning: to be used for a particular purpose, or to work in a particular way

---

_***For example:*** function as sth My apartment functions as an office and a storeroom, as well as my home. function as sth Our website functions mainly as a marketing tool, though it also functions as a channel for direct sales._"
Phrasal verbs 4,fuss over,"###Meaning: to give someone lots of attention to show how much you like them or how important you think they are

---

_***For example:*** fuss over sb All the relatives fussed over our baby daughter when we took her to meet them for the first time. fuss over sb Henry travels in first class because he loves the way the flight attendants fuss over him and make him feel special._"
Phrasal verbs 4,gather around,"###Meaning: If people gather around, they form a group or a small crowd around something or someone.Synonym: congregate

---

_***For example:*** gather around As soon as Simon began playing his guitar and singing, people gathered around to listen. gather around After Ronaldo fell down and grabbed his foot, other players gathered around to see what was wrong with him._"
Phrasal verbs 4,get across,"###Meaning: to communicate something or make something understood by othersSynonym: get over, convey, put across

---

_***For example:*** get sth across I've studied English for years, but I still have trouble getting my ideas across in a conversation. get across sth A good advertisement gets across whatever it is that makes a product seem essential to buyers._"
Phrasal verbs 4,get ahead,"###Meaning: If you get ahead, you make progress in your career.Synonym: advance, progress

---

_***For example:*** get ahead Peter says he got ahead by working hard and listening to people who knew more than he did. get ahead She won't get ahead unless she quits this job and starts working for a bigger company._"
Phrasal verbs 4,get along,"###Meaning: If two people get along, they like each other and are friendly.Synonym: get on

---

_***For example:*** get along My sister and I used to fight a lot when we were kids, but we get along well these days. get along with sb Lisa is a friendly, easy-going girl. She seems to get along with everybody._"
Phrasal verbs 4,get around (1),"###Meaning: to move from place to place

---

_***For example:*** get around Getting around by motorbike is much quicker than getting around by car, but it's also much more dangerous. get around Taxis are a really expensive way of getting around in Japan, so I use public transport whenever I can._"
Phrasal verbs 4,get around (2),"###Meaning: to find a way of avoiding something Synonym: avoid

---

_***For example:*** get around sth Sorry, but there's no way of getting around the new tax, so you'll just have to pay it. get around sth Jimmy's new lawyer is an expert at getting around government regulations._"
Phrasal verbs 4,get at (1),"###Meaning: to get hold of somethingSynonym: reach

---

_***For example:*** get at sth Make sure you put any dangerous medicines away so that the kids can't get at them. get at sth You'll need to put the food in a place where the ants can't get at it._"
