board_name,card_question,card_answer
English Words 1,agree [əˈɡriː],"###To agree is to have the same opinion or belief as another person.

---

_The students agree they have too much homework._"
English Words 1,alcohol [ˈælkəhɔːl],"###Alcohol is a type of drink that can make people drunk.

---

_A person should not drive a car after he or she has been drinking alcohol._"
English Words 1,arrive [əˈraɪv],"###To arrive is to get somewhere.

---

_They arrived at school at 7 a.m._"
English Words 1,August [ɔ́ːgəst],"###August is the eighth month of the year.

---

_Is your birthday in August?_"
English Words 1,boat [bəʊt],"###A boat is a vehicle that moves across water.

---

_There is a small boat on the lake._"
English Words 1,breakfast [ˈbrekfəst],"###Breakfast is the morning meal.

---

_I ate eggs for breakfast._"
English Words 1,camera [ˈkæmrə],"###A camera is a piece of equipment that takes pictures.

---

_I brought my camera on my vacation._"
English Words 1,capital [ˈkæpɪtl],"###A capital is a city where a country’s government is based.

---

_The capital of the United States is Washington, D.C._"
English Words 1,catch [kætʃ],"###To catch is to grab or get something.

---

_Did you catch the ball during the baseball game?_"
English Words 1,duck [dʌk],"###A duck is a small water bird.

---

_People feed ducks at the lake._"
English Words 1,enjoy [ɪnˈdʒɔɪ],"###To enjoy is to like something.

---

_The woman enjoys riding her bicycle._"
English Words 1,invite [ɪnˈvaɪt],"###To invite is to ask someone to come to a place or event.

---

_I will invite my friends to my birthday party._"
English Words 1,love [lʌv],"###To love is to like something or someone a lot.

---

_I love my family very much._"
English Words 1,month [mʌnθ],"###A month is one of 12 periods of time in one year.

---

_January is the first month of the year._"
English Words 1,travel [ˈtrævl],"###To travel is to go to a faraway place on vacation or business.

---

_They will travel to Argentina this summer._"
English Words 1,typical [ˈtɪpɪkl],"###If something is typical, it is normal, or something that usually happens.

---

_My typical breakfast is toast and eggs._"
English Words 1,visit [ˈvɪzɪt],"###To visit is to go and spend time in another place or see another person.

---

_She wants to visit her grandmother._"
English Words 1,weather [ˈweðər],"###Weather is the temperature and the state of the outdoors.

---

_Today’s weather is rainy and cloudy._"
English Words 1,week [wiːk],"###A week is a period of time that is seven days long.

---

_What are you doing next week?_"
English Words 1,wine [waɪn],"###Wine is an alcoholic drink made from grapes.

---

_The store carried both red and white wine._"
English Words 1,adventure [ədˈventʃər],"###An adventure is a fun or exciting thing that you do.

---

_Riding in the rough water was an adventure._"
English Words 1,approach [əˈprəʊtʃ],"###To approach something means to move close to it.

---

_The boy approached his school._"
English Words 1,carefully [ˈkerfəli],"###Carefully means with great attention, especially to detail or safety.

---

_The baby carefully climbed down the stairs._"
English Words 1,chemical [ˈkemɪkl],"###A chemical is something that scientists use in chemistry.

---

_The scientist mixed the chemicals._"
English Words 1,create [kriˈeɪt],"###To create means to make something new.

---

_She created an igloo from blocks of snow._"
English Words 1,evil [ˈiːvɪl],"###Evil describes something or someone bad or cruel, not good.

---

_They felt a strange, evil presence as they got closer to the house._"
English Words 1,experiment [ɪkˈsperɪmənt],"###An experiment is a test that you do to see what will happen.

---

_The student did an experiment in science class._"
English Words 1,kill [kɪl],"###To kill someone or something is to make them die.

---

_I killed the fly._"
English Words 1,laboratory [ˈlæbrətɔːri],"###A laboratory is a room where a scientist works.

---

_My mother works in a laboratory._"
