board_name,card_question,card_answer
English Words 3,advertise [ˈædvərtaɪz],"###To advertise is to describe or draw attention to a product or event by using a public medium.

---

_The woman started a new company and needed to advertise her products._"
English Words 3,aware [əˈwer],"###If someone is aware, they know that something or a situation exists.

---

_The student became aware that the teacher was watching him._"
English Words 3,battery [ˈbætəri],"###A battery is an object placed inside something to supply it with electricity.

---

_My brother needs a battery for his clock._"
English Words 3,black [blæk],"###Black is the darkest color.

---

_Our street is black at night because there are no street lights._"
English Words 3,city [ˈsɪti],"###A city is a place where a lot of people live.

---

_Tokyo is a very big city in Japan._"
English Words 3,clean [kliːn],"###To clean is to make something neat and tidy.

---

_I clean our kitchen every Saturday._"
English Words 3,country [ˈkʌntri],"###A country is an area of land with the same government and laws.

---

_France is a country in Europe._"
English Words 3,develop [dɪˈveləp],"###To develop is to make something larger or more advanced.

---

_This practice will help you develop your math skills._"
English Words 3,electric [ɪˈlektrɪk],"###If something is electric, it uses electricity.

---

_Some car companies make electric cars._"
English Words 3,eventually [ɪˈventʃuəli],"###When something happens at a later time or in the end, it happens eventually.

---

_He will eventually move to London to find a new job._"
English Words 3,fact [fækt],"###A fact is a piece of information that is true.

---

_A fact about South America is that it is a continent._"
English Words 3,glass [ɡlæs],"###Glass is a transparent, breakable material.

---

_Windows are made of glass._"
English Words 3,history [ˈhɪstri],"###History is the study of the past.

---

_History was my favorite subject in school._"
English Words 3,nature [ˈneɪtʃər],"###Nature is everything in the physical world that is not made by people.

---

_On the weekends, I love to walk in nature among the trees._"
English Words 3,never [ˈnevər],"###Never is when something is impossible or will not happen.

---

_They never eat meat because they are vegetarians._"
English Words 3,people [ˈpiːpl],"###People are humans.

---

_How many people live in China?_"
English Words 3,plastic [ˈplæstɪk],"###Plastic is a material made by people.

---

_Many drinks are sold in plastic bottles._"
English Words 3,problem [ˈprɑːbləm],"###A problem is a situation when something goes wrong.

---

_My problem is that I lost my dog._"
English Words 3,street [striːt],"###A street is a road in a city or village.

---

_What is the name of the street you live on?_"
English Words 3,think [θɪŋk],"###To think is to have an opinion or thought about something.

---

_I think summer is the best season._"
English Words 3,alone [əˈləʊn],"###A person who is alone is not with another person.

---

_The boy wanted to be alone to think._"
English Words 3,apartment [əˈpɑːrtmənt],"###An apartment is a set of rooms in a building where people live.

---

_She has a nice apartment in the city._"
English Words 3,article [ˈɑːrtɪkl],"###An article is a story in a newspaper or magazine.

---

_Did you read the article in the newspaper about the soccer game?_"
English Words 3,artist [ˈɑːrtɪst],"###An artist is a person who paints, draws, or makes sculptures.

---

_He went to Paris to become an artist._"
English Words 3,attitude [ˈætɪtuːd],"###Someone’s attitude is the way they feel and think.

---

_John has a bad attitude. He’s always angry._"
English Words 3,beauty [ˈbjuːti],"###Beauty is the state or quality of being beautiful.

---

_I heard my mother was a great beauty when she was young._"
English Words 3,compare [kəmˈper],"###To compare means to say how two things are the same and different.

---

_If you compare cats and dogs, you’ll see that they’re both good pets._"
English Words 3,judge [dʒʌdʒ],"###To judge something is to say if it is good or bad.

---

_The boy was going to judge how his mother’s turkey tasted._"
English Words 3,magazine [ˈmæɡəziːn],"###A magazine is a regular publication with news, stories, and articles.

---

_She likes to read fashion magazines._"
English Words 3,material [məˈtɪriəl],"###A material is what is used to make something.

---

_Brick is a good material for building houses._"
English Words 3,meal [miːl],"###A meal is a time when food is eaten, such as breakfast, lunch, or dinner.

---

_Breakfast is my favorite meal because I enjoy cereal._"
English Words 3,method [ˈmeθəd],"###A method is the way to do something.

---

_One method to remember things is to tie a string around your finger._"
English Words 3,neighbor [néibər],"###A neighbor is a person who lives near you.

---

_I like my neighbor because he’s very friendly._"
English Words 3,professional [prəˈfeʃənl],"###If something is professional, it deals with work that uses special skills.

---

_If you want to be a pilot, you must have professional training._"
English Words 3,profit [ˈprɑːfɪt],"###A profit is the extra money you make when you sell something.

---

_I made a small profit from selling my old clothes._"
English Words 3,quality [ˈkwɑːləti],"###The quality of something is how good it is.

---

_The quality of his car is very good._"
English Words 3,space [speɪs],"###A space is an empty area.

---

_I don’t have much space for things in my small house._"
English Words 3,stair [ster],"###Stairs are the things that are used to walk up or down in a building.

---

_You can take the stairs to the second floor._"
English Words 3,symbol [ˈsɪmbl],"###A symbol is a thing that stands for something else.

---

_This symbol tells us that we cannot smoke in this area._"
English Words 3,thin [θɪn],"###If someone or something is thin, they are not fat.

---

_The man was thin because he didn’t eat much._"
English Words 3,accounting [əˈkaʊntɪŋ],"###People study accounting so they can deal with money and finance properly.

---

_He works for an accounting firm._"
English Words 3,appeal [əˈpiːl],"###To appeal to someone is to be interesting or attractive.

---

_Sleeping all day appeals to me, but I have to go to school._"
English Words 3,assume [əˈsuːm],"###To assume something is to think that it is true, even with no proof.

---

_I assume you are both familiar with this plan._"
