board_name,card_question,card_answer
Phrasal verbs 10,shut off,"###Meaning: If a machine, a system or a supply shuts off, or is shut off by someone, it stops.Synonym: turn off

---

_***For example:*** shut off Our gas has been shut off because we didn't pay the bill on time. shut sth off The engine will shut itself off if starts to overheat._"
Phrasal verbs 10,shut out (1),"###Meaning: to stop someone or something from entering a room or a buildingSynonym: lock out

---

_***For example:*** shut out sb Kyle put a lock on his bedroom door to shut out his parents. shut sb out of sth Mandy was so angry with her boyfriend that she shut him out of the house._"
Phrasal verbs 10,shut out (2),"###Meaning: to stop yourself thinking about or feeling something that upsets you or hurts youSynonym: block out, suppress

---

_***For example:*** shut out sth She still finds it difficult to shut out the memory of her grandmother's illness. shut sth out The thought of losing her is unbearable, and no matter how hard I try, I just can't shut it out._"
Phrasal verbs 10,shut up,"###Meaning: to stop talking or stop making noiseSynonym: be quiet

---

_***For example:*** shut up My wife always talks when I'm trying to watch TV. I wish she'd shut up! shut sb/sth up It's impossible to shut my uncle up, especially if he's had a few drinks. He talks non-stop! Note: Can be offensive, especially if used in the imperative form, as in Shut up, will you!_"
Phrasal verbs 10,sign in,"###Meaning: to sign a register when you visit a place, or to log in when you visit a website

---

_***For example:*** sign in Don't forget to sign in when you get to the office in the morning. sign in If you want to upload a picture to your EnglishClub page, you'll have to sign in first._"
Phrasal verbs 10,sign up,"###Meaning: If you sign up to something like a website or a gym, you become a member.Synonym: join

---

_***For example:*** sign up EnglishClub.com already has thousands of members, and hundreds more sign up every month. sign up sb If you'd like to sign up for our fitness program, fill out this application form._"
Phrasal verbs 10,sit back,"###Meaning: to do nothing instead of making an effort to get what you want

---

_***For example:*** sit back If you want to make friends, you have to make an effort. You can't just sit back and wait for people to call you. sit back No wonder Joe is still unemployed. He thinks he can sit back and wait for jobs to come to him._"
Phrasal verbs 10,sit down,"###Meaning: to lower yourself into a sitting position on a seat or on the groundSynonym: be seated

---

_***For example:*** sit down Please come in and sit down. sit down If you see a pregnant woman get on a bus or a train, stand up and offer her your seat so that she can sit down._"
Phrasal verbs 10,sit in for,"###Meaning: to take someone's place when they are absentSynonym: stand in for

---

_***For example:*** sit in for sb The manager has attended most of the negotiations, but his assistant sat in for him a couple of times. sit in for sb I can't make it to today's meeting, so would you mind sitting in for me?_"
Phrasal verbs 10,sit in on,"###Meaning: If you sit in on something like a meeting or a class, you attend to see what happens, without joining in.

---

_***For example:*** sit in on sth Some trainee teachers will sit in on our class today and watch what we do. sit in on sth Two people from Amnesty International will be sitting in on the trial. Nouns often used as objects with sit in on: meeting, talks, negotiations, trial, class, lesson, session_"
Phrasal verbs 10,sit through,"###Meaning: If you sit through something like a long speech or a boring show, you wait until it's over before leaving, even though you're not enjoying it.

---

_***For example:*** sit through sth We had to sit through another of the chairman's dull speeches before the awards were announced. sit through sth If I hadn't been there with friends there's no way I would have sat through that movie. It was terrible!_"
Phrasal verbs 10,sit up (1),"###Meaning: If you sit up, you get up into a sitting position after you've been lying down.

---

_***For example:*** sit up I couldn't sleep, so I sat up and read for a while. sit up After being woken by the alarm, Monica sat up and felt in the dark for the light switch._"
Phrasal verbs 10,sit up (2),"###Meaning: to not go to bed until later than usualSynonym: stay up

---

_***For example:*** sit up The first time my wife and I met, it was at a party, and we sat up most of the night talking. sit up I sat up half the night waiting for my daughter to come home. Variety: Thisis typically used in British and Australian English but may be used in other varieties of English too._"
